GENE,seed_count
ANKRD30BP3,5
CALML3,5
CEP55,5
EGFR,5
ELP2,5
FGFR4,5
KLK12,5
KLK7,5
KRT5,5
MMP13,5
OBP2A,5
OPRPN,5
PCLAF,5
RBM20,5
SCG2,5
SLC30A8,5
SLC6A4,5
TYMS,5
TYMSOS,5
ACP7,4
AQP9,4
CDCA3,4
CGA,4
COL17A1,4
GLDC,4
GRB7,4
KCNF1,4
LOC441956,4
MELK,4
MIA,4
MIEN1,4
NKX2-2,4
NRIP1,4
NUSAP1,4
OVOL2,4
PHGR1,4
PRMT1,4
RAPGEFL1,4
SCRG1,4
SLC30A2,4
ACE2,3
ALKAL2,3
ANXA8,3
CDK1,3
CENPF,3
CP,3
CXCL17,3
DCD,3
DHRS2,3
DLK1,3
DSG3,3
ELOVL2,3
HOXA5,3
IL6,3
KLK5,3
KRT14,3
LYVE1,3
MUC16,3
OLR1,3
PCSK1,3
PI16,3
PLA2G2A,3
RBM24,3
SLURP1,3
SPTSSB,3
TCEAL2,3
TRIM29,3
UBE2T,3
VGLL1,3
ART3,2
AXIN2,2
BRINP3,2
C11ORF80,2
CACNA1H,2
CCDC151,2
CCDC34,2
CCL13,2
CDHR3,2
CDKN3,2
CEACAM5,2
COCH,2
CPB1,2
CRB3,2
CST5,2
DEFB1,2
DKK1,2
EPYC,2
ERBB3,2
FEN1,2
FOXC1,2
GLDN,2
GNG4,2
GPR26,2
IGF2BP2,2
IL1B,2
KCTD12,2
KPNA2,2
KRT16P3,2
MALL,2
MARCO,2
MMP12,2
NME1,2
NXPH1,2
OIP5,2
PDZK1,2
PIGR,2
PKP1,2
PRC1,2
PTTG1,2
PVALB,2
ROPN1,2
ROPN1B,2
SCNN1G,2
SLC26A3,2
SRD5A1,2
TIMP4,2
TM4SF19,2
TMEM97,2
UGT2B10,2
WDR72,2
ZIC2,2
A2ML1,1
ABAT,1
ACTA1,1
ACTR3B,1
ADH1B,1
ADIPOR2,1
AQP11,1
BEX1,1
C2CD2,1
C2CD4B,1
C4B,1
CA9,1
CACNG1,1
CAMP,1
CARTPT,1
CAT,1
CDCA5,1
CDR2L,1
CES1,1
CHGA,1
CITED1,1
CLCA2,1
CMIP,1
COLGALT1,1
CORO6,1
CPA4,1
CPED1,1
CSN3,1
CST4,1
CST9L,1
CTXN1,1
CYP2A6,1
DAPL1,1
DHRS9,1
DLX1,1
EIF4G2,1
ENPP3,1
FABP5P3,1
FAM107A,1
FMO3,1
FOLR1,1
FOXQ1,1
FRAS1,1
FZD9,1
GABBR2,1
GGCT,1
GIMAP6,1
GOLGA2P7,1
GRB14,1
GSTM1,1
GSTT1,1
HJURP,1
HOXB3,1
HOXB8,1
HRCT1,1
HSP90AA1,1
KCNMB1,1
KISS1R,1
KRT13,1
KRT18,1
KRT8,1
KRT86,1
LBP,1
LGMN,1
LRP1B,1
LRRC31,1
LXN,1
MDK,1
MIR503HG,1
MMP10,1
MS4A14,1
MTURN,1
MYO5C,1
NCAM2,1
NDUFC2,1
NEFH,1
NEK2,1
NLGN4X,1
NTRK2,1
ORM1,1
ORM2,1
OSR1,1
PAGE2,1
PBX3,1
PFKP,1
PGAP3,1
PGR,1
PLAC8,1
PNMT,1
PRR36,1
PTPRF,1
PTPRN2,1
PYDC1,1
RALYL,1
RBP5,1
RDH16,1
RPS24,1
S100A14,1
S100A7,1
S100A7A,1
SCGB3A1,1
SCGN,1
SCIN,1
SERPINA6,1
SERPINI1,1
SHROOM1,1
SINHCAF,1
SLC1A1,1
SLC39A6,1
SLC39A8,1
SLITRK6,1
SNAP25,1
SNAR-A3,1
SNCG,1
SORCS1,1
SOSTDC1,1
SPESP1,1
SYNE4,1
TCN1,1
TFPI2,1
TJP3,1
TM4SF18,1
TMEM25,1
TUBA3D,1
TUBB2B,1
UCHL1,1
VCX3B,1
VIPR2,1
WDR54,1
ZNF239,1
